AccountID,CustomerID,BranchID,AccountType,Balance,OpenDate,Status
7865483029,7961,716,Savings,2873.84,2026-04-15,Active
8234930973,2968,125,Credit,35944.57,2026-04-01,Active
6421801785,3626,320,Credit,1104.61,2026-02-18,Active
1777772747,6675,130,Checking,31126.73,2025-12-01,Active
8270643759,9247,259,Savings,3641.95,2024-06-18,Active
5954187674,7003,559,Savings,26576.25,2023-09-02,Active
8248476928,9311,467,Credit,11184.51,2024-09-20,Active
4932073933,8591,877,Savings,2086.15,2025-05-07,Closed
275260215,7473,381,Checking,44244.03,2023-12-25,Active
9949969913,7939,214,Credit,23049.26,2023-03-11,Active
7250302474,6752,529,Credit,2948.0,2025-08-07,Active
6587519811,3836,325,Checking,48557.84,2025-09-16,Active
3176118012,6819,106,Checking,22426.82,2024-04-04,Active
2085068274,8034,323,Savings,46331.18,2025-07-24,Active
800181889,266,303,Credit,30501.99,2023-11-26,Active
363080786,7251,325,Savings,2671.68,2025-12-19,Active
9102005558,7569,859,Checking,25730.34,2026-01-19,Active
180232446,6525,674,Credit,43340.8,2025-11-14,Active
2637929158,6192,328,Checking,26379.71,2026-01-24,Active
4612511036,3993,529,Checking,423.01,2021-11-01,Active
6376872215,339,328,Checking,45968.95,2025-04-05,Active
4005196189,2170,194,Checking,8546.78,2026-04-24,Active
4943724655,3575,263,Checking,15999.69,2026-04-13,Active
9671489607,586,242,Checking,38092.34,2025-07-21,Active
9355309778,1117,194,Savings,28357.98,2024-09-18,Active
4764802229,9635,242,Checking,39166.65,2025-12-01,Closed
741584057,7150,263,Credit,45059.74,2025-08-26,Active
8183270055,650,242,Savings,30732.39,2025-04-20,Active
7509485283,6973,704,Checking,27976.27,2024-01-27,Active
9536167553,5945,242,Credit,19118.59,2026-01-17,Active
780773101,9668,617,Credit,31593.0,2022-03-10,Active
1242368174,7309,204,Checking,3239.37,2024-11-18,Active
4780242230,324,204,Savings,12733.96,2025-10-29,Active
9966483272,9750,674,Savings,16409.29,2026-01-21,Closed
9709516944,4513,489,Checking,45062.39,2025-06-23,Active
9428736249,8492,259,Checking,45805.12,2023-06-01,Active
3506643107,4316,814,Credit,2615.02,2024-12-03,Active
8487551059,5658,263,Savings,198.49,2025-06-30,Active
5592227466,4824,204,Savings,32577.33,2026-03-24,Active
9898753971,3527,532,Savings,9053.93,2026-04-14,Active
1419888806,7585,814,Savings,14445.38,2023-10-01,Active
1995548904,2048,320,Checking,7766.3,2025-07-13,Active
7228930583,6564,350,Credit,10397.27,2026-03-06,Active
1500493518,2135,754,Checking,5382.75,2025-04-12,Active
1345277427,7367,765,Credit,39313.71,2026-03-19,Active
7223580959,5034,384,Checking,8976.55,2025-11-20,Active
9695367497,9088,754,Savings,45609.78,2024-03-21,Active
6001190085,720,323,Credit,21676.69,2026-02-11,Active
2825799110,9480,674,Savings,19631.24,2025-11-28,Active
5654463618,7160,858,Credit,18979.27,2023-09-28,Active
1151083277,9973,765,Credit,15663.14,2025-03-29,Active
8251842917,1149,814,Checking,12925.22,2025-05-27,Active
732276273,2016,833,Savings,41104.79,2025-11-10,Active
2436271784,4212,338,Credit,25156.27,2023-09-16,Active
1796846217,4992,833,Savings,23441.93,2026-04-19,Active
6010237528,1934,532,Credit,40779.62,2024-05-26,Active
359553016,1823,716,Checking,12807.86,2026-04-09,Active
2596679205,9536,189,Credit,42131.88,2025-02-06,Active
7104390575,7607,467,Checking,7386.49,2024-10-18,Active
9238085417,2844,529,Savings,21369.87,2025-12-09,Active
502621186,8754,814,Savings,6491.69,2023-10-16,Active
7596100331,9733,467,Savings,49040.89,2025-10-10,Active
180566940,5616,814,Savings,32417.24,2025-02-28,Active
6792772744,493,194,Checking,7850.64,2026-04-21,Active
1872140357,4920,704,Savings,20844.27,2026-01-25,Active
3489076909,9232,195,Savings,44966.12,2026-02-22,Active
1754947472,9063,858,Checking,6908.87,2025-03-19,Active
4097207058,5455,194,Checking,10996.32,2024-11-14,Active
6148093021,8433,792,Checking,38732.22,2024-12-01,Active
9703228534,6806,127,Savings,33575.16,2025-06-10,Active
8706190097,2438,259,Checking,48662.4,2025-12-03,Closed
6662459946,8965,754,Checking,10171.54,2023-06-18,Active
835507548,7647,814,Savings,3753.93,2024-07-17,Active
9547863895,5988,320,Savings,24142.88,2026-03-15,Active
173720701,5091,350,Checking,46275.49,2025-02-19,Active
9553937996,8657,328,Credit,19084.4,2025-12-09,Active
674455554,1133,716,Checking,30516.75,2026-03-12,Active
359522952,1202,242,Savings,27313.37,2025-11-09,Active
652147887,6636,617,Checking,28885.09,2026-04-19,Active
4622542051,3310,925,Savings,44036.28,2025-01-14,Active
9073774349,6048,818,Credit,30314.6,2025-08-08,Active
2312094332,2247,242,Savings,3311.27,2025-05-16,Active
6629023772,9890,990,Checking,3199.81,2026-03-25,Active
6019239448,4339,195,Checking,855.01,2025-09-24,Active
2503317958,7998,704,Checking,37525.75,2025-05-29,Active
5698204494,5504,303,Credit,14526.12,2025-09-14,Active
2307401327,6768,814,Checking,27725.08,2023-09-28,Active
4123145,8621,858,Savings,43188.98,2026-04-09,Closed
1667594635,6449,818,Savings,36855.78,2026-01-28,Active
6433122359,1646,350,Savings,12399.55,2025-05-17,Active
