EmployeeID,FirstName,LastName,Role,BranchID,HireDate
1,Ahmed,Ashraf,Teller,320,2022-03-01
2,Mona,Saad,Loan Officer,242,2020-10-23
3,Nour,Gamal,Manager,529,2017-01-18
4,Ahmed,Izzat,Loan Officer,703,2024-02-16
5,Amr,Morsi,Teller,814,2025-06-08
6,Aya,Saad,Manager,204,2018-06-08
7,Yasmin,Naguib,Teller,925,2022-10-02
8,Salma,Zaki,Teller,242,2017-08-26
9,Yasmin,Younes,Manager,859,2025-09-14
10,Khaled,Nassar,Teller,350,2021-04-19
11,Rehab,Abdelrahman,Manager,854,2022-06-19
12,Laila,Helmy,Manager,132,2026-02-18
13,Doaa,Shawky,Manager,444,2019-08-01
14,Aya,Adel,Loan Officer,818,2017-06-30
15,Hoda,Fathy,Manager,704,2017-02-02
16,Omar,Mostafa,Teller,877,2020-03-10
17,Ayman,Nassar,Manager,754,2021-03-27
18,Omar,Rashad,Teller,704,2017-09-01
19,Omar,Mahmoud,Loan Officer,381,2020-04-09
20,Khaled,Farag,Customer Service,189,2018-01-11
21,Mina,Izzat,Customer Service,532,2022-10-12
22,Laila,Gamal,Manager,328,2021-01-15
23,Karim,Ashraf,Customer Service,716,2024-01-10
24,Doaa,Gamal,Customer Service,194,2022-07-08
25,Mostafa,Ashraf,Teller,859,2019-01-29
26,Dina,Izzat,Loan Officer,328,2022-08-11
27,Khaled,Shawky,Manager,928,2022-05-10
28,Hoda,Sayed,Customer Service,858,2019-11-16
29,Mona,Kamal,Manager,381,2020-11-07
30,Hoda,Helmy,Teller,859,2017-07-11
31,Ahmed,Abdelrahman,Manager,792,2019-03-23
32,Nesma,Zaki,Customer Service,189,2025-05-26
33,Dina,Mahmoud,Manager,674,2020-06-23
34,Ahmed,Adel,Loan Officer,529,2019-02-03
35,Nour,Gamal,Customer Service,204,2024-03-05
36,Hany,Younes,Manager,859,2022-10-07
37,Mostafa,Izzat,Loan Officer,859,2020-11-26
38,Mostafa,Nassar,Customer Service,703,2025-10-14
39,Tarek,Mahmoud,Teller,858,2020-01-18
40,Omar,Saleh,Teller,320,2021-10-30
41,Khaled,Adel,Teller,106,2017-04-06
42,Khaled,Nassar,Teller,263,2020-03-17
43,Youssef,Gamal,Loan Officer,132,2016-11-09
44,Ibrahim,Ashraf,Loan Officer,532,2021-09-05
45,Fatma,Adel,Manager,259,2023-02-19
46,Aya,Kamal,Loan Officer,199,2020-11-12
47,Omar,Hassan,Customer Service,263,2017-06-09
48,Karim,Abdelrahman,Manager,703,2019-11-26
49,Fatma,Sayed,Loan Officer,381,2025-12-17
50,Khaled,Amin,Loan Officer,792,2021-08-31
51,Hoda,Helmy,Loan Officer,263,2019-12-06
52,Ahmed,Ashraf,Loan Officer,259,2024-10-21
53,Karim,Sayed,Loan Officer,242,2023-01-16
54,Karim,Izzat,Manager,130,2024-02-13
55,Nour,Saleh,Manager,444,2018-09-28
56,Mariam,Shawky,Loan Officer,703,2020-10-25
57,Rehab,Farag,Teller,350,2018-09-08
58,Doaa,Farag,Teller,754,2020-07-04
59,Mariam,Sayed,Loan Officer,792,2025-11-11
60,Hoda,Helmy,Customer Service,990,2025-06-25
61,Ahmed,Fathy,Teller,881,2020-10-12
62,Sherif,Helmy,Teller,127,2026-04-04
63,Sherif,Gamal,Manager,125,2023-08-08
64,Aya,Amin,Teller,716,2026-03-28
65,Ibrahim,Ashraf,Manager,259,2023-02-08
66,Karim,Amin,Customer Service,263,2022-06-21
67,Sherif,Samir,Manager,858,2020-01-16
68,Nesma,Hassan,Manager,489,2018-08-31
